model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolo8,203,15,146,75,1447690.0,8244864.0,4144704.0,0.0,8244864.0,4144704.0,,97991.18,512,1024,128,256.0,101.5,post_placement,43,161,287.08 Megabytes/sec,287.08 Megabytes/sec,956.95 Kilobytes/sec,956.95 Kilobytes/sec,0.12,73,256,73,160,4,28,1362688,45056,512,1,1,64,False,False,False,False,False,0,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.004510077956334988,0.02274667287280477,,,,0.396484375,0.5979114763320039,0.27874909739874715,0.9919824445799722,0.7615074671331644,0.916256157635468,0.14825117351097278,0.05385687162703307,,no runtime data,no runtime data,N/A,0.08374192224843574,0.42235414322482184,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,3072.0,10.0,0.0,0.0,0.0,0.0
context_0,0.004510077956334989,0.022746672872804772,,0.5703125,0.1572265625,0.396484375,0.5979114763320039,0.27874909739874715,0.9919824445799722,0.7615074671331644,0.916256157635468,0.14825117351097278,0.05385687162703308,,97991.18079372856,1.0205e-05,0.0001116575,0.08374192224843574,0.42235414322482184,,single context,,,,,3072.0,10.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,is_4bit_enhanced,is_smuffer_in,is_smuffer_out,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util
conv14,conv,4,4,128,64,3,3,2,2,conv13,conv_feature_splitter3_1 conv_feature_splitter3_2,73856.0,295424,,110650.07,3615,288,17.0,3.0,3.0,128,1,4.0,,1,1,1,False,,False,combined (NORMAL),225.77168655395508,50.171485900878906,,0.0,0.0,3.0,0.0104525,0,128,0.34758994158576517,0.2877952282627424,0.2702251003568934,192.0,2048,context_0,False,False,False,False,3.8665e-05,73856,589824,0,8,-0.34258753061294556,21.49736785888672,-0.9859102964401245,1.1286628246307373,-0.2904713451862335,14.523566246032715,8,8,16,0.319778710603714,0.5,1.0,0.8855952964233219,0.9411764705882353,0.14159726100348188
conv_feature_splitter3_1,conv,2,2,64,128,1,1,1,1,conv14,concat3,8256.0,33024.0,,174748.80,2289,512.0,1,1,1,64,8,1,1,1,1,1,False,,False,,50.171485900878906,25.085742950439453,yolo8/conv_feature_splitter3_1,0,0,1,0.00754,0,64,0.9086937308311462,0.05591961741447449,0.5095541278472547,64,512,context_0,False,False,True,False,4.14975e-05,8256.0,65536.0,0,8,-0.2904713451862335,14.523566246032715,-2.881401777267456,3.3748831748962402,-0.8048141598701477,21.998254776000977,8,8,16,0.9086937308311462,0.25,1.0,0.5607545320921118,1.0,0.12738853196181368
conv_feature_splitter3_2,conv,2,2,64,128,1,1,1,1,conv14,conv16 ew_add4 concat3,8256.0,33024.0,,174748.80,2289,512.0,1,1,1,64,8,3,1,1,1,1,False,,False,,50.171485900878906,25.085742950439453,yolo8/conv_feature_splitter3_2,0,0,1,0.00754,0,64,0.9086937308311462,0.05591961741447449,0.5095541278472547,192,512,context_0,False,False,True,False,4.14975e-05,8256.0,65536.0,0,8,-0.2904713451862335,14.523566246032715,-1.8704665899276733,1.508798599243164,-0.5272802114486694,14.412324905395508,8,8,16,0.9086937308311462,0.25,1.0,0.5607545320921118,1.0,0.12738853196181368
conv16,conv,2,2,64,64,3,3,1,1,conv_feature_splitter3_2,conv17,36928.0,147712.0,,125195.62,3195,288.0,8,1,1,8,1,1,1,1,1,1,False,,False,,25.085742950439453,25.085742950439453,yolo8/conv16,0,0,1,0.008844999999999999,0,8,0.7242566347122192,0.04006259888410568,0.5668789681297257,64,512,context_0,False,False,False,True,4.5635e-05,36928.0,294912.0,2048,8,-0.5272802114486694,14.412324905395508,-0.6909193992614746,0.6776955723762512,-0.2998427152633667,6.071815013885498,8,8,16,0.7242566347122192,0.25,1.0,0.7827045565899069,1.0,0.14171974203243143
conv17,conv,2,2,64,64,3,3,1,1,conv16,ew_add4,36928.0,147712.0,,124262.19,3219,288.0,8,1,1,8,1,1,1,1,1,1,False,,False,,25.085742950439453,25.085742950439453,yolo8/conv17,0,0,1,0.0064625,0,8,0.7188568115234375,0.03976390138268471,0.5668789995820542,64,512,context_0,False,False,True,False,5.04725e-05,36928.0,294912.0,2048,8,-0.2998427152633667,6.071815013885498,-3.4348490238189697,3.900949716567993,-0.29827484488487244,18.716747283935547,8,8,16,0.7188568115234375,0.25,1.0,0.7885840274375306,1.0,0.14171974989551356
ew_add4,ew_add,2,2,64,64,,,,,conv_feature_splitter3_2 conv17,conv18 ew_add5 concat3,0,128.0,,553250.35,723,,1,1,1,64,0,3,1,,,,False,,False,,25.085742950439453,0.0,yolo8/ew_add4,0,0,1,0.002525,0,64,0.5311203598976135,0.17704011499881744,0.09407153851199769,192,512,context_0,False,False,False,False,5.135e-05,0,256.0,0,8,-0.5272802114486694,14.412324905395508,N/A,N/A,-1.1237754821777344,30.716527938842773,8,8,16,0.5311203598976135,0.25,1.0,0.17711905928466437,1.0,0.023517884627999423
conv18,conv,2,2,64,64,3,3,1,1,ew_add4,conv19,36928.0,147712.0,,125195.62,3195,288.0,8,1,1,8,1,1,1,1,1,1,False,,False,,25.085742950439453,25.085742950439453,yolo8/conv18,0,0,1,0.00643,0,8,0.7242566347122192,0.04006259888410568,0.5668789681297257,64,512,context_0,False,False,False,True,5.61325e-05,36928.0,294912.0,2048,8,-1.1237754821777344,30.716527938842773,-0.33026331663131714,0.4150870144367218,-0.2925371527671814,9.032084465026855,8,8,16,0.7242566347122192,0.25,1.0,0.7827045565899069,1.0,0.14171974203243143
conv19,conv,2,2,64,64,3,3,1,1,conv18,ew_add5,36928.0,147712.0,,124262.19,3219,288.0,8,1,1,8,1,1,1,1,1,1,False,,False,,25.085742950439453,25.085742950439453,yolo8/conv19,0,0,1,0.0064625,0,8,0.7188568115234375,0.03976390138268471,0.5668789995820542,64,512,context_0,False,False,True,False,6.097e-05,36928.0,294912.0,2048,8,-0.2925371527671814,9.032084465026855,-5.83461856842041,5.340251445770264,-0.29928961396217346,37.860137939453125,8,8,16,0.7188568115234375,0.25,1.0,0.7885840274375306,1.0,0.14171974989551356
ew_add5,ew_add,2,2,64,64,,,,,ew_add4 conv19,concat3,0,128.0,,553250.35,723,,1,1,1,64,0,1,1,,,,False,,False,,25.085742950439453,0.0,yolo8/ew_add5,0,0,1,0.002525,0,64,0.5311203598976135,0.17704011499881744,0.09407153851199769,64,512,context_0,False,False,False,False,6.18475e-05,0,256.0,0,8,-1.1237754821777344,30.716527938842773,N/A,N/A,-1.6959835290908813,46.35688400268555,8,8,16,0.5311203598976135,0.25,1.0,0.17711905928466437,1.0,0.023517884627999423
concat3,concat,2|2|2|2,2|2|2|2,256,64|64|64|64,,,,,conv_feature_splitter3_1 conv_feature_splitter3_2 ew_add4 ew_add5,conv20,0,0,,676818.95,591,,1,1,1,256,0,1,1,,,,False,,False,,25.085742950439453,0.0,yolo8/concat3,0,0,1,0.0023250000000000002,0,256,0.866328239440918,0.866328239440918,0.1254287088460516,16,2048,context_0,False,False,False,True,6.2525e-05,0,0,0,8,-0.8048141598701477,21.998254776000977,N/A,N/A,-1.6959835290908813,46.35688400268555,8,N/A,N/A,0.866328239440918,0.25,1.0,0.14478196962273396,0.0,0.0313571772115129
